datetime,BPM
2018-02-24 19:45:18,0
2018-02-24 19:45:19,0
2018-02-24 19:45:20,0
2018-02-24 19:45:21,0
2018-02-24 19:45:22,133
2018-02-24 19:45:23,123
2018-02-24 19:45:24,123
2018-02-24 19:45:25,123
2018-02-24 19:45:26,0
2018-02-24 19:45:27,229
2018-02-24 19:45:28,148
2018-02-24 19:45:29,123
2018-02-24 19:45:30,109
2018-02-24 19:45:31,100
2018-02-24 19:45:32,89
2018-02-24 19:45:33,82
2018-02-24 19:45:34,97
2018-02-24 19:45:35,119
2018-02-24 19:45:36,126
2018-02-24 19:45:37,126
2018-02-24 19:45:38,0
2018-02-24 19:45:39,170
2018-02-24 19:45:40,159
2018-02-24 19:45:41,125
2018-02-24 19:45:42,125
2018-02-24 19:45:43,125
2018-02-24 19:45:44,0
2018-02-24 19:45:45,118
2018-02-24 19:45:46,109
2018-02-24 19:45:47,112
2018-02-24 19:45:48,112
2018-02-24 19:45:49,0
2018-02-24 19:45:50,131
2018-02-24 19:45:51,141
2018-02-24 19:45:52,148
2018-02-24 19:45:53,116
2018-02-24 19:45:54,106
2018-02-24 19:45:55,106
2018-02-24 19:45:56,106
2018-02-24 19:45:57,0
2018-02-24 19:45:58,141
2018-02-24 19:45:59,131
2018-02-24 19:46:00,129
2018-02-24 19:46:01,124
2018-02-24 19:46:02,124
2018-02-24 19:46:03,0
2018-02-24 19:46:04,0
2018-02-24 19:46:05,70
2018-02-24 19:46:06,71
2018-02-24 19:46:07,71
2018-02-24 19:46:08,71
2018-02-24 19:46:09,71
2018-02-24 19:46:10,71
2018-02-24 19:46:11,0
2018-02-24 19:46:12,74
2018-02-24 19:46:13,74
2018-02-24 19:46:14,73
2018-02-24 19:46:15,72
2018-02-24 19:46:16,72
2018-02-24 19:46:17,71
2018-02-24 19:46:18,70
2018-02-24 19:46:19,70
2018-02-24 19:46:20,73
2018-02-24 19:46:21,73
2018-02-24 19:46:22,73
2018-02-24 19:46:23,0
2018-02-24 19:46:24,0
2018-02-24 19:46:25,54
2018-02-24 19:46:26,54
2018-02-24 19:46:27,50
